delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,label
0.0,0.0,0.042940824215382034,0.034338605771994685,0.050441045225268884,0.04051477024616007,0.034684308726874835,0.140222411493698,0.006928728386907415,0.7996540994570598,0.050441045225268884,0.0,1.974290858535417,0.7996540994570598,0,0,1,1,0,2,0
0.0,0.0,0.100767281855042,0.09127328003420529,0.10745819941207173,0.09769301033388109,0.06586185488042677,0.30217193457431174,0.023861565954849086,0.9057739037915171,0.10745819941207173,0.0,1.9721630237990742,0.9057739037915171,0,0,1,1,0,2,0
0.0,0.0,0.08654237320648234,0.03482781076657892,0.014387522550418643,0.04264637932251471,0.05831943742994191,0.2466138837333877,0.007568318531565791,0.4024318613452222,0.014387522550418643,0.0,0.5686782418288174,0.4024318613452222,0,0,1,0,0,1,0
0.0,0.0,0.04008508039416055,0.03693749208902143,0.02870966526432179,0.0356674324591313,0.05173991197517738,0.1924546224768653,0.0032933116260924853,0.9214543234414663,0.02870966526432179,0.0,1.6376546848143885,0.9214543234414663,0,0,1,1,0,2,0
0.0,0.0,0.24682551685975,0.2064405360710248,0.07372484204352298,0.18335785776133068,0.12998418793140173,0.3760849715227551,0.021169752827811326,0.836379083971464,0.07372484204352298,0.0,1.135070014676508,0.836379083971464,0,0,1,0,0,1,0
0.0,0.0,0.16507028440639082,0.06804546487549516,0.05911893169482854,0.09007003646305244,0.08406235158400291,0.28156250237865743,0.02481421460704438,0.41221866734842433,0.05911893169482854,0.0,0.7703604962402562,0.41221866734842433,0,0,1,0,0,1,0
0.0,0.0,0.12679790133779115,0.11335390608373054,0.09488081439215088,0.11209663197435077,0.05788456436593892,0.19295007228635272,0.0025809986562192475,0.8939659956655045,0.09488081439215088,0.0,1.6422438860187438,0.8939659956655045,0,0,1,1,0,2,0
0.0,0.0,0.061501432778583345,0.08190351484234629,0.02909999375482649,0.06360211405452561,0.04594236827228355,0.18601105266402795,0.009005864980249089,1.3317117899581217,0.02909999375482649,0.0,1.804863703470067,1.3317117899581217,1,0,1,1,1,4,1
0.0,0.0,0.07889825057526906,0.05045313764425499,0.016120160378886434,0.04898117156066637,0.09092170697252458,0.3003323712553116,0.0015822770817025854,0.6394628247593205,0.016120160378886434,0.0,0.8437760503140799,0.6394628247593205,0,0,1,0,0,1,0
0.0,0.0,0.2560435040018405,0.09045630350631963,0.04510677905061371,0.12051572251627338,0.1717415425327637,0.6707408111447013,0.004444287892279685,0.353283519437189,0.04510677905061371,0.0,0.5294512494435689,0.353283519437189,0,0,1,0,0,1,0
0.0,0.0,0.0731304010609745,0.07670515844793431,0.04871212331862865,0.06881321031886793,0.058287588536886044,0.23529250638829224,0.012007663180857744,1.0488676182202517,0.04871212331862865,0.0,1.7149580063698528,1.0488676182202517,0,0,1,1,1,3,1
0.0,0.0,0.08020252279410858,0.06428660200541976,0.05320521238841677,0.06549523479834121,0.05271199561821413,0.15353970760273183,0.009516960365590393,0.8015433707376004,0.05320521238841677,0.0,1.4649208700651613,0.8015433707376004,0,0,1,1,0,2,0
0.0,0.0,0.22246004714369372,0.17853261990624283,0.11463888547935688,0.17354104310888407,0.11429901429209789,0.3746702854012586,0.02393866697156073,0.8025342962218626,0.11463888547935688,0.0,1.3178554589659564,0.8025342962218626,0,0,1,1,0,2,0
0.0,0.0,0.1122201395453708,0.05933709042728621,0.05200867587826653,0.07072574906955244,0.04262212345503521,0.1795154031896378,0.019331005612901072,0.5287514515328579,0.05200867587826653,0.0,0.992199569142103,0.5287514515328579,0,0,1,0,0,1,0
0.0,0.0,0.11326559082732418,0.07442623479177576,0.08533613137789663,0.0868635479471931,0.044155943747332255,0.20689428493262071,0.03837572134600383,0.657089034358235,0.08533613137789663,0.0,1.4104985857059242,0.657089034358235,0,0,1,1,0,2,0
0.0,0.0,0.3176898105493726,0.166144548784589,0.04645623253360172,0.17410878516303807,0.16172476921785195,0.5324797001890597,0.01093874384970604,0.5229756205326825,0.04645623253360172,0.0,0.6692065815518773,0.5229756205326825,0,0,1,0,0,1,0
0.0,0.0,0.11199895294985308,0.06047124299902895,0.05615179639766975,0.07227330883639518,0.055027465994210746,0.20177809871979227,0.006923053778595407,0.539922039307502,0.05615179639766975,0.0,1.0412775749014427,0.539922039307502,0,0,1,0,0,1,0
0.0,0.0,0.19155878256010028,0.08641691908558784,0.06199293292217487,0.1065963884133627,0.08290567469229937,0.3933801661231546,0.03611804212736561,0.4511224534224727,0.06199293292217487,0.0,0.7747443123203607,0.4511224534224727,0,0,1,0,0,1,0
0.0,0.0,0.05916259668657558,0.06354032062287382,0.03960002612660397,0.056460816014731796,0.07915659170593765,0.2108228783033801,0.001340215926009336,1.0739766373482045,0.03960002612660397,0.0,1.7433075831388842,1.0739766373482045,0,0,1,1,1,3,1
0.0,0.0,0.08170550990861682,0.08831794166747485,0.07528022324704445,0.08340540412265275,0.05815744508173233,0.22957828516325063,0.016558870957732987,1.0809168298370897,0.07528022324704445,0.0,2.0022659773069824,1.0809168298370897,0,0,1,1,1,3,1
0.0,0.0,0.04924914960774259,0.06050590971663598,0.035662698295292894,0.051480916834076865,0.03215388918844713,0.12917006152287647,0.006217050310708416,1.2285426582160854,0.035662698295292894,0.0,1.9526561599888066,1.2285426582160854,1,0,1,1,1,4,1
